,INSTNM,WEBADDR,DISAURL
52,California State University-Sacramento,An error occurred while accessing sitemap of https://www.csus.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.csus.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.csus.edu/student-affairs/centers-programs/disability-access-center/sitemap.xml: 404 Client Error: Not Found for url: https://www.csus.edu/student-affairs/centers-programs/disability-access-center/sitemap.xml
53,University of California-Berkeley,"An error occurred while accessing sitemap of http://www.berkeley.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='www.berkeley.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddb790>: Failed to resolve 'www.berkeley.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of https://dsp.berkeley.edu/sitemap.xml: 404 Client Error: Not Found for url: https://dsp.berkeley.edu/sitemap.xml
54,University of California-Davis,"An error occurred while accessing sitemap of http://ucdavis.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='ucdavis.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddb8a0>: Failed to resolve 'ucdavis.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",https://sdc.ucdavis.edu/sitemap.xml
55,University of California-Irvine,"An error occurred while accessing sitemap of http://www.uci.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='www.uci.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddbac0>: Failed to resolve 'www.uci.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))","An error occurred while validating https://dsc.uci.edu: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
56,University of California-Los Angeles,https://www.ucla.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.cae.ucla.edu/sitemap.xml: 404 Client Error: Not Found for url: https://cae.ucla.edu/sitemap.xml
57,University of California-Riverside,https://www.ucr.edu/sitemap.xml,https://sdrc.ucr.edu/sitemap.xml
58,University of California-San Diego,https://www.ucsd.edu/sitemap.xml,https://disabilities.ucsd.edu/sitemap.xml
59,University of California-San Francisco,https://ucsf.edu/sitemap.xml,An error occurred while accessing sitemap of https://sds.ucsf.edu/sitemap.xml: 404 Client Error: Not Found for url: https://sds.ucsf.edu/sitemap.xml
60,University of California-Santa Barbara,https://www.ucsb.edu/sitemap.xml,https://dsp.sa.ucsb.edu/sitemap.xml
61,University of California-Santa Cruz,https://www.ucsc.edu/sitemap.xml,https://drc.ucsc.edu/sitemap.xml
